filename,RB,OB,PF,DE,FS,IS,RO,IN,AF,BE,FO,GR,PH,PB,OS,OP,OK
00000019.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00000086.png,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
00000088.png,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
00000100.png,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
00000101.png,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
00000282.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00000300.png,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
00000352.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00000367.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00000418.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00000500.png,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
00000504.png,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
00000518.png,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
00000524.png,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
00000547.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00000579.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00000648.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00000649.png,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
00000659.png,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
00000739.png,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
00000758.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00000783.png,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
00000849.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00000855.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00000869.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00000891.png,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
00000945.png,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00000952.png,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
00001022.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00001261.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00001768.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00001777.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00001818.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00001950.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00002066.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00002193.png,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
00002382.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
00002433.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00002435.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00002545.png,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
00002688.png,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
00002771.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00002791.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00002976.png,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
00003075.png,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
00003081.png,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
00003162.png,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
00003282.png,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
00003287.png,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
00003295.png,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
00003301.png,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
00003499.png,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
00003502.png,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
00003577.png,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
00003665.png,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
00003901.png,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
00003906.png,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
00003954.png,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
00003969.png,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
00004016.png,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
00004019.png,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
00004062.png,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0
00004063.png,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0
00004127.png,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
00004147.png,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0
00004196.png,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0
00004220.png,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
00004225.png,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
00004401.png,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
00004544.png,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
00004884.png,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00004996.png,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
00005160.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00005177.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00005199.png,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
00005209.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00005442.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00005479.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00005506.png,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
00005521.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00005583.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00005630.png,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
00005701.png,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
00005738.png,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
00005817.png,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
00005882.png,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
00005958.png,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
00006247.png,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
00006249.png,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
00006302.png,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
00006330.png,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
00006558.png,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
00006723.png,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
00006844.png,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
00006850.png,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
00006882.png,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
00006944.png,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
00006960.png,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1
00006961.png,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1
00007018.png,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
