filename,RB,OB,PF,DE,FS,IS,RO,IN,AF,BE,FO,GR,PH,PB,OS,OP,OK
00000088.png,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
00000101.png,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
00000282.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00000367.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00000500.png,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
00000579.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00000849.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00000869.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00000945.png,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00001022.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00001261.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00001768.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00001777.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00001950.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00002433.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00002545.png,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
00002688.png,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
00002771.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00002791.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00003075.png,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
00003287.png,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
00003301.png,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
00003499.png,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
00003502.png,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
00003577.png,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
00003665.png,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
00003901.png,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
00003906.png,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
00004016.png,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
00004019.png,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
00004127.png,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
00004196.png,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0
